Site,Species,Colony,Season,TimeToMortality,Species.Site.Season,MortTemp,MortDegDays
Faga'itua,Pocillopora damicornis,-10,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-9,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-8,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-7,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-6,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-5,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-4,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-3,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-2,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'itua,Pocillopora damicornis,-1,March,96,Pocillopora damicornis.Faga'itua.03,36,28
Faga'alu,Pocillopora damicornis,0,March,72,Pocillopora damicornis.Faga'alu.03,36,21
Faga'alu,Pocillopora damicornis,1,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Pocillopora damicornis,2,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Pocillopora damicornis,3,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Pocillopora damicornis,4,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Pocillopora damicornis,5,March,65.08888889,Pocillopora damicornis.Faga'alu.03,36,18.9875
Faga'alu,Pocillopora damicornis,6,March,80,Pocillopora damicornis.Faga'alu.03,36,23.33333333
Faga'alu,Pocillopora damicornis,7,March,96,Pocillopora damicornis.Faga'alu.03,36,28
Faga'alu,Pocillopora damicornis,8,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Pocillopora damicornis,9,March,64.38333333,Pocillopora damicornis.Faga'alu.03,36,18.78333333
Faga'alu,Acropora hyacinthus,10,March,51.83333333,Acropora hyacinthus.Faga'alu.03,34.63888889,12.15861111
Faga'alu,Acropora hyacinthus,12,March,60,Acropora hyacinthus.Faga'alu.03,36,17.5
