"Plot Title: 08_13_2019_Faga'Alu"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)","Intensity, lum/ft² (LGR S/N: 20622575, SEN S/N: 20622575, LBL: Faga'Alu)"
1,08/13/19 05:00:00 PM,29.652,152.0
2,08/13/19 05:30:00 PM,29.152,70.0
3,08/13/19 06:00:00 PM,28.853,26.0
4,08/13/19 06:30:00 PM,28.655,0.0
5,08/13/19 07:00:00 PM,28.456,0.0
6,08/13/19 07:30:00 PM,28.456,0.0
7,08/13/19 08:00:00 PM,28.357,0.0
8,08/13/19 08:30:00 PM,28.258,0.0
9,08/13/19 09:00:00 PM,28.258,0.0
10,08/13/19 09:30:00 PM,28.159,0.0
11,08/13/19 10:00:00 PM,28.159,0.0
12,08/13/19 10:30:00 PM,28.060,0.0
13,08/13/19 11:00:00 PM,27.961,0.0
14,08/13/19 11:30:00 PM,27.961,0.0
15,08/14/19 12:00:00 AM,27.862,0.0
16,08/14/19 12:30:00 AM,27.764,0.0
17,08/14/19 01:00:00 AM,27.665,0.0
18,08/14/19 01:30:00 AM,27.567,0.0
19,08/14/19 02:00:00 AM,27.567,0.0
20,08/14/19 02:30:00 AM,27.370,0.0
21,08/14/19 03:00:00 AM,27.370,0.0
22,08/14/19 03:30:00 AM,27.468,0.0
23,08/14/19 04:00:00 AM,27.468,0.0
24,08/14/19 04:30:00 AM,27.567,0.0
25,08/14/19 05:00:00 AM,27.764,0.0
26,08/14/19 05:30:00 AM,27.862,0.0
27,08/14/19 06:00:00 AM,27.961,0.0
28,08/14/19 06:30:00 AM,28.060,1.0
29,08/14/19 07:00:00 AM,28.159,26.0
30,08/14/19 07:30:00 AM,28.258,96.0
31,08/14/19 08:00:00 AM,28.754,184.0
32,08/14/19 08:30:00 AM,28.655,136.0
33,08/14/19 09:00:00 AM,29.352,416.0
34,08/14/19 09:30:00 AM,28.655,152.0
35,08/14/19 10:00:00 AM,28.853,208.0
36,08/14/19 10:30:00 AM,29.352,304.0
37,08/14/19 11:00:00 AM,29.953,768.0
38,08/14/19 11:30:00 AM,29.853,320.0
39,08/14/19 12:00:00 PM,30.054,704.0
40,08/14/19 12:30:00 PM,30.356,432.0
41,08/14/19 01:00:00 PM,30.558,1280.0
42,08/14/19 01:30:00 PM,30.154,304.0
43,08/14/19 02:00:00 PM,30.457,704.0
44,08/14/19 02:30:00 PM,30.054,288.0
45,08/14/19 03:00:00 PM,30.457,608.0
46,08/14/19 03:30:00 PM,30.457,576.0
47,08/14/19 04:00:00 PM,30.054,304.0
48,08/14/19 04:30:00 PM,29.752,111.0
49,08/14/19 05:00:00 PM,29.452,72.0
50,08/14/19 05:30:00 PM,28.953,37.0
51,08/14/19 06:00:00 PM,28.655,17.0
52,08/14/19 06:30:00 PM,28.456,0.0
53,08/14/19 07:00:00 PM,28.456,0.0
54,08/14/19 07:30:00 PM,28.357,0.0
55,08/14/19 08:00:00 PM,28.357,0.0
56,08/14/19 08:30:00 PM,28.357,0.0
57,08/14/19 09:00:00 PM,28.258,0.0
58,08/14/19 09:30:00 PM,28.258,0.0
59,08/14/19 10:00:00 PM,28.258,0.0
60,08/14/19 10:30:00 PM,28.159,0.0
61,08/14/19 11:00:00 PM,28.159,0.0
62,08/14/19 11:30:00 PM,28.060,0.0
63,08/15/19 12:00:00 AM,27.961,0.0
64,08/15/19 12:30:00 AM,27.961,0.0
65,08/15/19 01:00:00 AM,27.862,0.0
66,08/15/19 01:30:00 AM,27.764,0.0
67,08/15/19 02:00:00 AM,27.665,0.0
68,08/15/19 02:30:00 AM,27.567,0.0
69,08/15/19 03:00:00 AM,27.567,0.0
70,08/15/19 03:30:00 AM,27.567,0.0
71,08/15/19 04:00:00 AM,27.665,0.0
72,08/15/19 04:30:00 AM,27.764,0.0
73,08/15/19 05:00:00 AM,27.764,0.0
74,08/15/19 05:30:00 AM,27.961,0.0
75,08/15/19 06:00:00 AM,28.060,0.0
76,08/15/19 06:30:00 AM,28.159,0.0
77,08/15/19 07:00:00 AM,28.159,9.0
78,08/15/19 07:30:00 AM,28.258,63.0
79,08/15/19 08:00:00 AM,28.357,65.0
80,08/15/19 08:30:00 AM,28.555,216.0
81,08/15/19 09:00:00 AM,28.555,240.0
82,08/15/19 09:30:00 AM,28.555,232.0
83,08/15/19 10:00:00 AM,28.754,288.0
84,08/15/19 10:30:00 AM,29.152,608.0
85,08/15/19 11:00:00 AM,29.252,336.0
86,08/15/19 11:30:00 AM,29.252,448.0
87,08/15/19 12:00:00 PM,30.154,992.0
88,08/15/19 12:30:00 PM,30.255,992.0
89,08/15/19 01:00:00 PM,30.659,1344.0
90,08/15/19 01:30:00 PM,29.953,448.0
91,08/15/19 02:00:00 PM,30.154,576.0
92,08/15/19 02:30:00 PM,30.154,496.0
93,08/15/19 03:00:00 PM,30.054,384.0
94,08/15/19 03:30:00 PM,29.953,304.0
95,08/15/19 04:00:00 PM,29.552,160.0
96,08/15/19 04:30:00 PM,29.252,152.0
97,08/15/19 05:00:00 PM,29.053,144.0
98,08/15/19 05:30:00 PM,28.754,107.0
99,08/15/19 06:00:00 PM,28.555,18.0
100,08/15/19 06:30:00 PM,28.456,0.0
101,08/15/19 07:00:00 PM,28.357,0.0
102,08/15/19 07:30:00 PM,28.357,0.0
103,08/15/19 08:00:00 PM,28.357,0.0
104,08/15/19 08:30:00 PM,28.357,0.0
105,08/15/19 09:00:00 PM,28.357,0.0
106,08/15/19 09:30:00 PM,28.357,0.0
107,08/15/19 10:00:00 PM,28.258,0.0
108,08/15/19 10:30:00 PM,28.258,0.0
109,08/15/19 11:00:00 PM,28.258,0.0
110,08/15/19 11:30:00 PM,28.258,0.0
111,08/16/19 12:00:00 AM,28.159,0.0
112,08/16/19 12:30:00 AM,28.159,0.0
113,08/16/19 01:00:00 AM,27.862,0.0
114,08/16/19 01:30:00 AM,28.060,0.0
115,08/16/19 02:00:00 AM,27.961,0.0
116,08/16/19 02:30:00 AM,27.961,0.0
117,08/16/19 03:00:00 AM,27.961,0.0
118,08/16/19 03:30:00 AM,27.961,0.0
119,08/16/19 04:00:00 AM,27.862,0.0
120,08/16/19 04:30:00 AM,27.961,0.0
121,08/16/19 05:00:00 AM,27.961,0.0
122,08/16/19 05:30:00 AM,28.060,0.0
123,08/16/19 06:00:00 AM,28.159,0.0
124,08/16/19 06:30:00 AM,28.159,0.0
125,08/16/19 07:00:00 AM,28.159,3.0
