"Plot Title: Cannery"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20641665, SEN S/N: 20641665, LBL: 2019_07_08_Cannery)","Intensity, lum/ft² (LGR S/N: 20641665, SEN S/N: 20641665)"
1,08/07/19 05:00:00 PM,28.953,12.0
2,08/07/19 05:30:00 PM,29.053,8.0
3,08/07/19 06:00:00 PM,28.754,5.0
4,08/07/19 06:30:00 PM,28.754,10.0
5,08/07/19 07:00:00 PM,28.754,3.0
6,08/07/19 07:30:00 PM,29.053,4.0
7,08/07/19 08:00:00 PM,29.053,4.0
8,08/07/19 08:30:00 PM,29.053,10.0
9,08/07/19 09:00:00 PM,28.953,5.0
10,08/07/19 09:30:00 PM,28.853,2.0
11,08/07/19 10:00:00 PM,28.655,1.0
12,08/07/19 10:30:00 PM,28.555,0.0
13,08/07/19 11:00:00 PM,28.555,0.0
14,08/07/19 11:30:00 PM,28.555,0.0
15,08/08/19 12:00:00 AM,28.555,0.0
16,08/08/19 12:30:00 AM,28.456,0.0
17,08/08/19 01:00:00 AM,28.456,0.0
18,08/08/19 01:30:00 AM,28.456,0.0
19,08/08/19 02:00:00 AM,28.456,0.0
20,08/08/19 02:30:00 AM,28.357,0.0
21,08/08/19 03:00:00 AM,28.357,0.0
22,08/08/19 03:30:00 AM,28.357,0.0
23,08/08/19 04:00:00 AM,28.357,0.0
24,08/08/19 04:30:00 AM,28.258,0.0
25,08/08/19 05:00:00 AM,28.258,0.0
26,08/08/19 05:30:00 AM,28.159,0.0
27,08/08/19 06:00:00 AM,28.258,0.0
28,08/08/19 06:30:00 AM,28.258,0.0
29,08/08/19 07:00:00 AM,28.258,0.0
30,08/08/19 07:30:00 AM,28.159,0.0
31,08/08/19 08:00:00 AM,28.159,0.0
32,08/08/19 08:30:00 AM,28.159,0.0
33,08/08/19 09:00:00 AM,28.060,0.0
34,08/08/19 09:30:00 AM,28.060,0.0
35,08/08/19 10:00:00 AM,28.159,0.0
36,08/08/19 10:30:00 AM,28.159,0.0
37,08/08/19 11:00:00 AM,28.159,0.0
38,08/08/19 11:30:00 AM,28.159,5.0
39,08/08/19 12:00:00 PM,28.258,7.0
40,08/08/19 12:30:00 PM,28.357,8.0
41,08/08/19 01:00:00 PM,28.655,21.0
42,08/08/19 01:30:00 PM,28.456,13.0
43,08/08/19 02:00:00 PM,29.152,53.0
44,08/08/19 02:30:00 PM,28.555,9.0
45,08/08/19 03:00:00 PM,28.555,16.0
46,08/08/19 03:30:00 PM,28.655,26.0
47,08/08/19 04:00:00 PM,28.555,20.0
48,08/08/19 04:30:00 PM,29.252,38.0
49,08/08/19 05:00:00 PM,28.953,10.0
50,08/08/19 05:30:00 PM,28.655,10.0
51,08/08/19 06:00:00 PM,28.754,13.0
52,08/08/19 06:30:00 PM,28.853,18.0
53,08/08/19 07:00:00 PM,28.853,20.0
54,08/08/19 07:30:00 PM,28.754,9.0
55,08/08/19 08:00:00 PM,28.754,8.0
56,08/08/19 08:30:00 PM,28.754,5.0
57,08/08/19 09:00:00 PM,28.953,6.0
58,08/08/19 09:30:00 PM,28.953,1.0
59,08/08/19 10:00:00 PM,28.853,0.0
60,08/08/19 10:30:00 PM,28.853,0.0
61,08/08/19 11:00:00 PM,28.754,0.0
62,08/08/19 11:30:00 PM,28.655,0.0
63,08/09/19 12:00:00 AM,28.456,0.0
64,08/09/19 12:30:00 AM,28.357,0.0
65,08/09/19 01:00:00 AM,28.456,0.0
66,08/09/19 01:30:00 AM,28.357,0.0
67,08/09/19 02:00:00 AM,28.357,0.0
68,08/09/19 02:30:00 AM,28.357,0.0
69,08/09/19 03:00:00 AM,28.258,0.0
70,08/09/19 03:30:00 AM,28.258,0.0
71,08/09/19 04:00:00 AM,28.258,0.0
72,08/09/19 04:30:00 AM,28.258,0.0
73,08/09/19 05:00:00 AM,28.258,0.0
74,08/09/19 05:30:00 AM,28.258,0.0
75,08/09/19 06:00:00 AM,28.258,0.0
76,08/09/19 06:30:00 AM,28.258,0.0
77,08/09/19 07:00:00 AM,28.258,0.0
78,08/09/19 07:30:00 AM,28.159,0.0
79,08/09/19 08:00:00 AM,28.159,0.0
