"Plot Title: Faga'tele 8_15_2019"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20622586, SEN S/N: 20622586, LBL: Faga'tele)","Intensity, lum/ft² (LGR S/N: 20622586, SEN S/N: 20622586, LBL: Faga'tele)"
1,08/15/19 05:00:00 PM,26.977,10.0
2,08/15/19 05:01:00 PM,26.977,8.0
3,08/15/19 05:02:00 PM,26.977,7.0
4,08/15/19 05:03:00 PM,26.879,6.0
5,08/15/19 05:04:00 PM,26.879,11.0
6,08/15/19 05:05:00 PM,26.879,22.0
7,08/15/19 05:06:00 PM,26.879,10.0
8,08/15/19 05:07:00 PM,26.879,8.0
9,08/15/19 05:08:00 PM,26.781,6.0
10,08/15/19 05:09:00 PM,26.781,5.0
11,08/15/19 05:10:00 PM,26.781,6.0
12,08/15/19 05:11:00 PM,26.781,6.0
13,08/15/19 05:12:00 PM,26.781,31.0
14,08/15/19 05:13:00 PM,26.781,2.0
15,08/15/19 05:14:00 PM,26.781,0.0
16,08/15/19 05:15:00 PM,26.781,0.0
17,08/15/19 05:16:00 PM,26.879,0.0
18,08/15/19 05:17:00 PM,26.879,10.0
19,08/15/19 05:18:00 PM,27.075,11.0
20,08/15/19 05:19:00 PM,27.075,32.0
21,08/15/19 05:20:00 PM,27.075,21.0
22,08/15/19 05:21:00 PM,27.075,22.0
23,08/15/19 05:22:00 PM,27.075,22.0
24,08/15/19 05:23:00 PM,27.075,23.0
25,08/15/19 05:24:00 PM,27.075,25.0
26,08/15/19 05:25:00 PM,27.075,31.0
27,08/15/19 05:26:00 PM,27.075,37.0
28,08/15/19 05:27:00 PM,27.075,36.0
29,08/15/19 05:28:00 PM,26.977,46.0
30,08/15/19 05:29:00 PM,26.977,124.0
31,08/15/19 05:30:00 PM,27.468,118.0
32,08/15/19 05:31:00 PM,28.060,86.0
33,08/15/19 05:32:00 PM,28.258,72.0
34,08/15/19 05:33:00 PM,28.456,86.0
35,08/15/19 05:34:00 PM,28.456,32.0
36,08/15/19 05:35:00 PM,28.555,24.0
37,08/15/19 05:36:00 PM,28.555,23.0
38,08/15/19 05:37:00 PM,28.555,50.0
39,08/15/19 05:38:00 PM,28.555,84.0
40,08/15/19 05:39:00 PM,28.555,1344.0
41,08/15/19 05:40:00 PM,28.655,47.0
42,08/15/19 05:41:00 PM,28.853,160.0
43,08/15/19 05:42:00 PM,28.754,118.0
44,08/15/19 05:43:00 PM,28.357,110.0
45,08/15/19 05:44:00 PM,27.961,416.0
46,08/15/19 05:45:00 PM,27.764,48.0
47,08/15/19 05:46:00 PM,27.764,40.0
48,08/15/19 05:47:00 PM,28.258,4.0
49,08/15/19 05:48:00 PM,29.252,30.0
50,08/15/19 05:49:00 PM,28.853,43.0
51,08/15/19 05:50:00 PM,28.655,40.0
52,08/15/19 05:51:00 PM,28.754,51.0
53,08/15/19 05:52:00 PM,28.754,3.0
54,08/15/19 05:53:00 PM,28.754,25.0
55,08/15/19 05:54:00 PM,28.754,85.0
56,08/15/19 05:55:00 PM,28.655,45.0
57,08/15/19 05:56:00 PM,28.655,18.0
58,08/15/19 05:57:00 PM,28.655,6.0
59,08/15/19 05:58:00 PM,28.655,4.0
60,08/15/19 05:59:00 PM,28.655,21.0
61,08/15/19 06:00:00 PM,28.655,1.0
62,08/15/19 06:01:00 PM,28.655,2.0
63,08/15/19 06:02:00 PM,28.754,1.0
64,08/15/19 06:03:00 PM,28.853,1.0
65,08/15/19 06:04:00 PM,28.754,21.0
66,08/15/19 06:05:00 PM,28.655,19.0
67,08/15/19 06:06:00 PM,28.655,17.0
68,08/15/19 06:07:00 PM,28.655,11.0
69,08/15/19 06:08:00 PM,28.655,12.0
70,08/15/19 06:09:00 PM,28.555,9.0
71,08/15/19 06:10:00 PM,28.555,5.0
72,08/15/19 06:11:00 PM,28.555,4.0
73,08/15/19 06:12:00 PM,28.555,3.0
74,08/15/19 06:13:00 PM,28.555,7.0
75,08/15/19 06:14:00 PM,28.555,2.0
76,08/15/19 06:15:00 PM,28.555,1.0
77,08/15/19 06:16:00 PM,28.555,2.0
78,08/15/19 06:17:00 PM,28.555,1.0
79,08/15/19 06:18:00 PM,28.555,1.0
80,08/15/19 06:19:00 PM,28.555,1.0
81,08/15/19 06:20:00 PM,28.555,0.0
82,08/15/19 06:21:00 PM,28.555,0.0
83,08/15/19 06:22:00 PM,28.555,0.0
84,08/15/19 06:23:00 PM,28.555,0.0
85,08/15/19 06:24:00 PM,28.555,0.0
86,08/15/19 06:25:00 PM,28.555,0.0
87,08/15/19 06:26:00 PM,28.555,0.0
88,08/15/19 06:27:00 PM,28.555,0.0
89,08/15/19 06:28:00 PM,28.555,0.0
90,08/15/19 06:29:00 PM,28.555,0.0
91,08/15/19 06:30:00 PM,28.555,0.0
92,08/15/19 06:31:00 PM,28.555,0.0
93,08/15/19 06:32:00 PM,28.555,0.0
94,08/15/19 06:33:00 PM,28.555,0.0
95,08/15/19 06:34:00 PM,28.555,0.0
96,08/15/19 06:35:00 PM,28.555,0.0
97,08/15/19 06:36:00 PM,28.555,0.0
