"Plot Title: Vatia 8_13_19"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia 8_13_19)","Intensity, lum/ft² (LGR S/N: 20641684, SEN S/N: 20641684, LBL: Vatia)"
1,08/13/19 05:00:00 PM,29.152,480.0
2,08/13/19 05:30:00 PM,28.953,200.0
3,08/13/19 06:00:00 PM,28.853,54.0
4,08/13/19 06:30:00 PM,28.853,0.0
5,08/13/19 07:00:00 PM,28.754,0.0
6,08/13/19 07:30:00 PM,28.754,0.0
7,08/13/19 08:00:00 PM,28.655,0.0
8,08/13/19 08:30:00 PM,28.655,0.0
9,08/13/19 09:00:00 PM,28.655,0.0
10,08/13/19 09:30:00 PM,28.655,0.0
11,08/13/19 10:00:00 PM,28.655,0.0
12,08/13/19 10:30:00 PM,28.655,0.0
13,08/13/19 11:00:00 PM,28.655,0.0
14,08/13/19 11:30:00 PM,28.555,0.0
15,08/14/19 12:00:00 AM,28.555,0.0
16,08/14/19 12:30:00 AM,28.555,0.0
17,08/14/19 01:00:00 AM,28.555,0.0
18,08/14/19 01:30:00 AM,28.456,0.0
19,08/14/19 02:00:00 AM,28.456,0.0
20,08/14/19 02:30:00 AM,28.456,0.0
21,08/14/19 03:00:00 AM,28.456,0.0
22,08/14/19 03:30:00 AM,28.357,0.0
23,08/14/19 04:00:00 AM,28.357,0.0
24,08/14/19 04:30:00 AM,28.357,0.0
25,08/14/19 05:00:00 AM,28.456,0.0
26,08/14/19 05:30:00 AM,28.456,0.0
27,08/14/19 06:00:00 AM,28.456,0.0
28,08/14/19 06:30:00 AM,28.456,3.0
29,08/14/19 07:00:00 AM,28.456,95.0
30,08/14/19 07:30:00 AM,28.655,512.0
31,08/14/19 08:00:00 AM,28.953,1344.0
32,08/14/19 08:30:00 AM,29.252,1600.0
33,08/14/19 09:00:00 AM,29.452,2816.0
34,08/14/19 09:30:00 AM,29.053,1216.0
35,08/14/19 10:00:00 AM,29.452,5120.0
36,08/14/19 10:30:00 AM,29.752,2816.0
37,08/14/19 11:00:00 AM,30.154,4096.0
38,08/14/19 11:30:00 AM,30.457,2048.0
39,08/14/19 12:00:00 PM,30.558,3584.0
40,08/14/19 12:30:00 PM,30.659,4352.0
41,08/14/19 01:00:00 PM,30.457,3968.0
42,08/14/19 01:30:00 PM,30.356,1216.0
43,08/14/19 02:00:00 PM,30.255,1472.0
44,08/14/19 02:30:00 PM,29.552,512.0
45,08/14/19 03:00:00 PM,29.953,576.0
46,08/14/19 03:30:00 PM,29.953,576.0
47,08/14/19 04:00:00 PM,29.752,416.0
48,08/14/19 04:30:00 PM,29.352,384.0
49,08/14/19 05:00:00 PM,29.053,184.0
50,08/14/19 05:30:00 PM,28.953,89.0
51,08/14/19 06:00:00 PM,28.853,45.0
52,08/14/19 06:30:00 PM,28.754,0.0
53,08/14/19 07:00:00 PM,28.754,0.0
54,08/14/19 07:30:00 PM,28.754,0.0
55,08/14/19 08:00:00 PM,28.655,0.0
56,08/14/19 08:30:00 PM,28.655,0.0
57,08/14/19 09:00:00 PM,28.655,0.0
58,08/14/19 09:30:00 PM,28.754,0.0
59,08/14/19 10:00:00 PM,28.754,0.0
60,08/14/19 10:30:00 PM,28.754,0.0
61,08/14/19 11:00:00 PM,28.754,0.0
62,08/14/19 11:30:00 PM,28.655,0.0
63,08/15/19 12:00:00 AM,28.555,0.0
64,08/15/19 12:30:00 AM,28.456,0.0
65,08/15/19 01:00:00 AM,28.555,0.0
66,08/15/19 01:30:00 AM,28.456,0.0
67,08/15/19 02:00:00 AM,28.555,0.0
68,08/15/19 02:30:00 AM,28.555,0.0
69,08/15/19 03:00:00 AM,28.555,0.0
70,08/15/19 03:30:00 AM,28.555,0.0
71,08/15/19 04:00:00 AM,28.456,0.0
72,08/15/19 04:30:00 AM,28.456,0.0
73,08/15/19 05:00:00 AM,28.456,0.0
74,08/15/19 05:30:00 AM,28.456,0.0
75,08/15/19 06:00:00 AM,28.456,0.0
76,08/15/19 06:30:00 AM,28.456,0.0
77,08/15/19 07:00:00 AM,28.456,40.0
78,08/15/19 07:30:00 AM,28.555,184.0
79,08/15/19 08:00:00 AM,28.655,216.0
80,08/15/19 08:30:00 AM,28.754,608.0
81,08/15/19 09:00:00 AM,29.452,2304.0
82,08/15/19 09:30:00 AM,29.652,3712.0
83,08/15/19 10:00:00 AM,28.953,512.0
84,08/15/19 10:30:00 AM,29.252,4352.0
85,08/15/19 11:00:00 AM,29.652,2816.0
86,08/15/19 11:30:00 AM,30.356,9216.0
87,08/15/19 12:00:00 PM,30.154,2304.0
88,08/15/19 12:30:00 PM,30.054,1152.0
89,08/15/19 01:00:00 PM,29.953,768.0
90,08/15/19 01:30:00 PM,29.953,864.0
91,08/15/19 02:00:00 PM,29.953,1408.0
92,08/15/19 02:30:00 PM,29.652,896.0
93,08/15/19 03:00:00 PM,29.752,608.0
94,08/15/19 03:30:00 PM,29.352,512.0
95,08/15/19 04:00:00 PM,29.352,608.0
96,08/15/19 04:30:00 PM,29.053,256.0
97,08/15/19 05:00:00 PM,29.053,272.0
98,08/15/19 05:30:00 PM,28.953,107.0
99,08/15/19 06:00:00 PM,28.754,28.0
100,08/15/19 06:30:00 PM,28.655,0.0
101,08/15/19 07:00:00 PM,28.655,0.0
102,08/15/19 07:30:00 PM,28.655,0.0
103,08/15/19 08:00:00 PM,28.655,0.0
104,08/15/19 08:30:00 PM,28.555,0.0
105,08/15/19 09:00:00 PM,28.555,0.0
106,08/15/19 09:30:00 PM,28.555,0.0
107,08/15/19 10:00:00 PM,28.555,0.0
108,08/15/19 10:30:00 PM,28.555,0.0
109,08/15/19 11:00:00 PM,28.555,0.0
110,08/15/19 11:30:00 PM,28.456,0.0
111,08/16/19 12:00:00 AM,28.456,0.0
112,08/16/19 12:30:00 AM,28.456,0.0
113,08/16/19 01:00:00 AM,28.456,0.0
114,08/16/19 01:30:00 AM,28.357,0.0
115,08/16/19 02:00:00 AM,28.357,0.0
116,08/16/19 02:30:00 AM,28.357,0.0
117,08/16/19 03:00:00 AM,28.258,0.0
118,08/16/19 03:30:00 AM,28.159,0.0
119,08/16/19 04:00:00 AM,28.159,0.0
120,08/16/19 04:30:00 AM,28.159,0.0
121,08/16/19 05:00:00 AM,28.258,0.0
122,08/16/19 05:30:00 AM,28.258,0.0
123,08/16/19 06:00:00 AM,28.357,0.0
124,08/16/19 06:30:00 AM,28.357,0.0
125,08/16/19 07:00:00 AM,28.357,5.0
126,08/16/19 07:30:00 AM,28.357,2.0
127,08/16/19 08:00:00 AM,28.258,7.0
128,08/16/19 08:30:00 AM,28.258,16.0
129,08/16/19 09:00:00 AM,28.258,19.0
130,08/16/19 09:30:00 AM,28.258,16.0
131,08/16/19 10:00:00 AM,28.258,42.0
132,08/16/19 10:30:00 AM,28.159,35.0
133,08/16/19 11:00:00 AM,28.159,77.0
134,08/16/19 11:30:00 AM,28.159,168.0
135,08/16/19 12:00:00 PM,28.159,144.0
136,08/16/19 12:30:00 PM,28.159,152.0
137,08/16/19 01:00:00 PM,28.258,384.0
138,08/16/19 01:30:00 PM,28.357,480.0
139,08/16/19 02:00:00 PM,28.357,512.0
140,08/16/19 02:30:00 PM,28.357,368.0
141,08/16/19 03:00:00 PM,28.357,352.0
142,08/16/19 03:30:00 PM,28.456,368.0
143,08/16/19 04:00:00 PM,28.456,400.0
144,08/16/19 04:30:00 PM,28.456,184.0
145,08/16/19 05:00:00 PM,28.357,90.0
146,08/16/19 05:30:00 PM,28.357,74.0
147,08/16/19 06:00:00 PM,28.357,15.0
148,08/16/19 06:30:00 PM,28.357,0.0
149,08/16/19 07:00:00 PM,28.357,0.0
150,08/16/19 07:30:00 PM,28.357,0.0
151,08/16/19 08:00:00 PM,28.357,0.0
152,08/16/19 08:30:00 PM,28.357,0.0
153,08/16/19 09:00:00 PM,28.258,0.0
154,08/16/19 09:30:00 PM,28.357,0.0
155,08/16/19 10:00:00 PM,28.258,0.0
156,08/16/19 10:30:00 PM,28.258,0.0
157,08/16/19 11:00:00 PM,28.357,0.0
158,08/16/19 11:30:00 PM,28.357,0.0
159,08/17/19 12:00:00 AM,28.357,0.0
160,08/17/19 12:30:00 AM,28.258,0.0
161,08/17/19 01:00:00 AM,28.258,0.0
162,08/17/19 01:30:00 AM,28.258,0.0
163,08/17/19 02:00:00 AM,28.357,0.0
164,08/17/19 02:30:00 AM,28.357,0.0
165,08/17/19 03:00:00 AM,28.258,0.0
166,08/17/19 03:30:00 AM,28.258,0.0
167,08/17/19 04:00:00 AM,28.258,0.0
168,08/17/19 04:30:00 AM,28.258,0.0
169,08/17/19 05:00:00 AM,28.258,0.0
170,08/17/19 05:30:00 AM,28.258,0.0
171,08/17/19 06:00:00 AM,28.258,0.0
172,08/17/19 06:30:00 AM,28.258,3.0
173,08/17/19 07:00:00 AM,28.357,72.0
174,08/17/19 07:30:00 AM,28.456,464.0
175,08/17/19 08:00:00 AM,28.555,576.0
176,08/17/19 08:30:00 AM,28.754,1664.0
177,08/17/19 09:00:00 AM,29.252,5120.0
178,08/17/19 09:30:00 AM,28.953,1600.0
179,08/17/19 10:00:00 AM,29.752,4352.0
180,08/17/19 10:30:00 AM,29.853,11264.0
181,08/17/19 11:00:00 AM,29.853,3200.0
182,08/17/19 11:30:00 AM,29.752,1344.0
183,08/17/19 12:00:00 PM,29.552,1536.0
184,08/17/19 12:30:00 PM,29.752,960.0
185,08/17/19 01:00:00 PM,29.452,800.0
186,08/17/19 01:30:00 PM,29.752,1152.0
187,08/17/19 02:00:00 PM,29.853,1280.0
188,08/17/19 02:30:00 PM,29.652,608.0
189,08/17/19 03:00:00 PM,30.054,992.0
190,08/17/19 03:30:00 PM,29.752,480.0
191,08/17/19 04:00:00 PM,29.452,184.0
192,08/17/19 04:30:00 PM,29.252,113.0
193,08/17/19 05:00:00 PM,29.152,114.0
194,08/17/19 05:30:00 PM,28.953,63.0
195,08/17/19 06:00:00 PM,28.953,72.0
196,08/17/19 06:30:00 PM,28.853,0.0
197,08/17/19 07:00:00 PM,28.853,0.0
198,08/17/19 07:30:00 PM,28.754,0.0
199,08/17/19 08:00:00 PM,28.655,0.0
200,08/17/19 08:30:00 PM,28.655,0.0
201,08/17/19 09:00:00 PM,28.655,0.0
202,08/17/19 09:30:00 PM,28.655,0.0
203,08/17/19 10:00:00 PM,28.655,0.0
204,08/17/19 10:30:00 PM,28.555,0.0
205,08/17/19 11:00:00 PM,28.555,0.0
206,08/17/19 11:30:00 PM,28.555,0.0
207,08/18/19 12:00:00 AM,28.655,0.0
